time TIMESTAMP,macaddr DEV_ADDR,uint8 ATYPE,int8 RSSI
2019-09-25T10:26:03.946,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:04.050,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:04.159,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:04.258,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:04.370,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:04.478,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:04.587,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:04.688,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:04.789,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:04.889,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:04.999,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.105,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.311,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:26:05.312,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.420,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.522,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.629,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.729,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:05.841,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:05.946,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:06.052,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:06.160,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:06.268,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:06.369,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:06.572,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:06.675,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:06.782,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:06.997,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:07.098,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:07.206,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:26:07.314,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:26:07.423,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:07.525,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:07.626,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:07.728,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:07.828,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:07.931,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:08.037,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:26:08.148,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:08.248,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:26:08.460,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:26:08.566,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:26:08.669,6d:73:5a:f3:7b:98,0,-45
