time TIMESTAMP,macaddr DEV_ADDR,uint8 ATYPE,int8 RSSI
2019-09-25T10:24:55.715,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:55.814,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:24:55.922,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:24:56.031,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:56.348,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:24:56.450,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:56.550,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:56.653,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:24:56.760,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:56.860,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:24:56.966,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.070,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.172,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.383,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.486,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.587,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.687,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:57.795,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:24:57.900,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:24:58.005,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:24:58.211,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:24:58.320,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:58.422,6d:73:5a:f3:7b:98,0,-46
2019-09-25T10:24:58.530,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:24:58.632,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:24:58.737,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:24:58.846,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:25:02.323,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:02.424,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:02.525,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:25:02.635,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:02.743,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:02.844,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:02.953,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:03.060,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:03.163,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:03.265,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:03.371,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:03.481,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:25:03.588,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:03.696,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:25:03.804,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:03.906,6d:73:5a:f3:7b:98,0,-42
2019-09-25T10:25:04.007,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:04.116,6d:73:5a:f3:7b:98,0,-45
2019-09-25T10:25:04.215,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:04.321,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:04.424,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:04.527,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:04.632,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:04.738,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:04.847,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:04.953,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:05.058,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:05.264,6d:73:5a:f3:7b:98,0,-44
2019-09-25T10:25:05.367,6d:73:5a:f3:7b:98,0,-43
2019-09-25T10:25:05.476,6d:73:5a:f3:7b:98,0,-44
